CustomerID,Age,FirstTransactionDate,LastTransactionDate,TotalAmountSpent,TransactionCount,AvgAmountPerTransaction,FirstInteractionDate,LastInteractionDate,TotalServiceInteractions,ServiceDiversity,LastLoginDate,ChurnStatus,LoginFrequency,RecencyDays,TenureDays,DaysSinceLastLogin,InteractionsPerMonth,TotalAmountSpent_Capped,TransactionCount_Capped,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,Gender_F,Gender_M,IncomeLevel_High,IncomeLevel_Low,IncomeLevel_Medium,ServiceUsage_Mobile App,ServiceUsage_Online Banking,ServiceUsage_Website
11,54,2022-03-01,2022-12-14,1733.83,5,346.76599999999996,2022-01-26,2022-10-28,2,1,2023-01-22,0,30.0,17,288,-22,0.20833333333333334,1733.83,5.0,True,False,False,False,False,True,False,False,True,False,True,False
12,41,2022-11-02,2022-11-02,87.1,1,87.1,2022-01-12,2022-11-29,2,2,2023-12-31,0,43.0,59,0,-365,2.0,87.1,1.0,False,True,False,False,True,False,False,True,False,False,False,True
13,24,2022-07-23,2022-09-27,392.02,3,130.67333333333332,2022-07-27,2022-07-27,1,1,2023-07-05,0,10.0,95,66,-186,0.45454545454545453,392.02,3.0,True,False,False,False,True,False,False,True,False,True,False,False
14,42,2022-01-17,2022-11-08,2843.59,9,315.95444444444445,2022-07-25,2022-07-29,2,2,2023-01-10,0,26.0,53,295,-10,0.20338983050847456,2843.59,9.0,False,False,False,True,False,True,False,False,True,False,True,False
15,42,2022-01-20,2022-12-16,1914.02,8,239.2525,2022-02-04,2022-10-18,2,2,2023-06-15,0,44.0,15,330,-166,0.18181818181818182,1914.02,8.0,True,False,False,False,False,True,False,False,True,False,True,False
16,30,2022-07-23,2022-12-14,2019.79,9,224.42111111111112,2022-06-30,2022-09-08,2,1,2023-03-15,1,41.0,17,144,-74,0.4166666666666667,2019.79,9.0,False,False,True,False,True,False,False,False,True,False,True,False
17,19,2022-06-03,2022-11-24,1625.27,7,232.18142857142857,2022-05-06,2022-05-11,2,1,2023-09-03,0,8.0,37,174,-246,0.3448275862068966,1625.27,7.0,False,True,False,False,False,True,False,True,False,False,True,False
18,56,2022-01-14,2022-08-30,951.3800000000001,5,190.276,2022-11-08,2022-11-08,1,1,2023-11-24,1,37.0,123,228,-328,0.13157894736842105,951.3800000000001,5.0,False,True,False,False,True,False,True,False,False,False,False,True
19,57,2022-05-09,2022-12-22,1017.26,5,203.452,2022-04-18,2022-11-28,2,1,2023-03-08,0,39.0,9,227,-67,0.2643171806167401,1017.26,5.0,True,False,False,False,True,False,True,False,False,False,True,False
20,41,2022-02-02,2022-12-17,2775.85,9,308.42777777777775,2022-07-19,2022-07-19,1,1,2023-08-15,0,16.0,14,318,-227,0.09433962264150944,2775.85,9.0,False,False,True,False,False,True,False,True,False,False,False,True
21,64,2022-02-16,2022-08-02,913.02,5,182.60399999999998,2022-02-16,2023-06-16,0,0,2023-06-16,0,18.0,151,167,-167,0.0,913.02,5.0,True,False,False,False,False,True,True,False,False,False,False,True
22,42,2022-02-01,2022-10-19,1582.73,6,263.78833333333336,2022-01-07,2022-08-06,2,1,2023-05-06,0,42.0,73,260,-126,0.23076923076923078,1582.73,6.0,True,False,False,False,True,False,False,True,False,True,False,False
23,35,2022-01-19,2022-11-07,1490.74,4,372.685,2022-02-23,2022-03-18,2,1,2023-07-07,0,19.0,54,292,-188,0.20547945205479454,1490.74,4.0,True,False,False,False,True,False,False,True,False,True,False,False
24,55,2022-02-11,2022-12-12,1143.22,5,228.644,2022-11-02,2022-11-02,1,1,2023-10-04,0,12.0,19,304,-277,0.09868421052631579,1143.22,5.0,False,False,False,True,False,True,False,False,True,True,False,False
25,43,2022-09-07,2022-10-07,764.77,3,254.92333333333332,2022-12-06,2022-12-06,1,1,2023-02-15,0,27.0,85,30,-46,1.0,764.77,3.0,False,True,False,False,True,False,False,True,False,True,False,False
26,31,2022-07-31,2022-12-28,571.76,3,190.58666666666667,2022-12-12,2022-12-12,1,1,2023-09-29,1,45.0,3,150,-272,0.2,571.76,3.0,False,False,True,False,False,True,False,False,True,True,False,False
27,26,2022-01-04,2022-11-10,2210.6,8,276.325,2022-06-13,2022-06-13,1,1,2023-10-01,0,22.0,51,310,-274,0.0967741935483871,2210.6,8.0,False,False,False,True,False,True,False,False,True,True,False,False
28,27,2022-01-06,2022-12-18,1702.26,6,283.71,2022-04-14,2022-12-01,2,2,2023-10-26,0,42.0,13,346,-299,0.17341040462427745,1702.26,6.0,False,False,False,True,True,False,True,False,False,False,True,False
29,38,2022-02-21,2022-09-24,853.0699999999999,3,284.3566666666666,2022-04-14,2022-09-13,2,2,2023-09-02,0,34.0,98,215,-245,0.27906976744186046,853.0699999999999,3.0,True,False,False,False,True,False,False,False,True,False,False,True
30,69,2022-05-13,2022-09-17,706.66,2,353.33,2022-04-04,2022-10-16,2,1,2023-07-12,0,38.0,105,127,-193,0.47244094488188976,706.66,2.0,True,False,False,False,False,True,True,False,False,False,False,True
31,34,2022-01-13,2022-12-09,1108.56,5,221.712,2022-05-09,2022-06-18,2,2,2023-08-17,0,23.0,22,330,-229,0.18181818181818182,1108.56,5.0,True,False,False,False,False,True,False,True,False,False,True,False
32,69,2022-03-01,2022-10-04,1225.52,5,245.10399999999998,2022-03-01,2023-01-06,0,0,2023-01-06,0,48.0,88,217,-6,0.0,1225.52,5.0,False,True,False,False,True,False,True,False,False,True,False,False
33,23,2022-08-07,2022-11-07,689.0,2,344.5,2022-05-30,2022-05-30,1,1,2023-05-19,1,24.0,54,92,-139,0.32608695652173914,689.0,2.0,True,False,False,False,False,True,True,False,False,True,False,False
34,33,2022-01-08,2022-12-22,1886.4,9,209.60000000000002,2022-05-19,2022-07-02,2,1,2023-04-03,0,44.0,9,348,-93,0.1724137931034483,1886.4,9.0,False,False,False,True,False,True,True,False,False,False,True,False
35,65,2022-04-03,2022-09-08,779.8399999999999,3,259.94666666666666,2022-07-07,2022-07-07,1,1,2023-05-23,0,19.0,114,158,-143,0.189873417721519,779.8399999999999,3.0,False,True,False,False,False,True,False,True,False,True,False,False
36,18,2022-03-02,2022-10-27,1321.5500000000002,6,220.25833333333335,2022-10-28,2022-10-28,1,1,2023-02-11,0,6.0,65,239,-42,0.12552301255230125,1321.5500000000002,6.0,False,False,False,True,True,False,False,True,False,False,True,False
37,36,2022-01-06,2022-12-07,3166.88,9,351.8755555555556,2022-03-20,2022-03-20,1,1,2023-08-28,0,3.0,24,335,-240,0.08955223880597016,2844.5599999999995,9.0,False,True,False,False,True,False,False,False,True,False,True,False
38,53,2022-02-23,2022-12-05,874.86,3,291.62,2022-03-25,2022-03-25,1,1,2023-11-27,0,47.0,26,285,-331,0.10526315789473684,874.86,3.0,False,True,False,False,True,False,False,True,False,False,True,False
39,42,2022-04-06,2022-12-11,1191.94,5,238.388,2022-04-06,2023-01-20,0,0,2023-01-20,0,26.0,20,249,-20,0.0,1191.94,5.0,False,True,False,False,False,True,False,False,True,False,True,False
40,67,2022-01-11,2022-08-02,1578.3500000000001,7,225.47857142857146,2022-11-23,2022-11-23,1,1,2023-10-14,0,20.0,151,203,-287,0.1477832512315271,1578.3500000000001,7.0,False,False,False,True,True,False,False,True,False,False,False,True
41,69,2022-02-06,2022-02-15,363.22,2,181.61,2022-02-26,2022-02-26,1,1,2023-07-04,1,38.0,319,9,-185,1.0,363.22,2.0,False,True,False,False,True,False,True,False,False,True,False,False
42,47,2022-04-14,2022-10-21,530.61,3,176.87,2022-04-14,2023-07-17,0,0,2023-07-17,0,10.0,71,190,-198,0.0,530.61,3.0,False,False,False,True,False,True,False,False,True,True,False,False
43,37,2022-02-28,2022-11-02,2213.63,7,316.23285714285714,2022-04-01,2022-11-16,2,1,2023-05-25,0,25.0,59,247,-145,0.24291497975708504,2213.63,7.0,False,False,True,False,False,True,False,True,False,True,False,False
44,37,2022-02-06,2022-11-23,687.8199999999999,3,229.2733333333333,2022-04-18,2022-04-18,1,1,2023-11-13,0,35.0,38,290,-317,0.10344827586206898,687.8199999999999,3.0,False,False,False,True,True,False,False,True,False,True,False,False
45,32,2022-12-23,2022-12-23,300.42,1,300.42,2022-06-25,2022-06-25,1,1,2023-09-02,0,49.0,8,0,-245,1.0,300.42,1.0,False,False,False,True,True,False,False,True,False,False,True,False
46,57,2022-08-20,2022-08-20,134.67,1,134.67,2022-08-20,2023-07-31,0,0,2023-07-31,1,24.0,133,0,-212,0.0,134.67,1.0,False,True,False,False,True,False,True,False,False,False,True,False
47,50,2022-03-30,2022-11-19,1466.37,7,209.48142857142855,2022-03-30,2023-04-19,0,0,2023-04-19,0,21.0,42,234,-109,0.0,1466.37,7.0,False,True,False,False,True,False,False,False,True,False,False,True
48,19,2022-05-21,2022-12-09,1597.29,7,228.18428571428572,2022-05-21,2023-06-12,0,0,2023-06-12,0,34.0,22,202,-163,0.0,1597.29,7.0,True,False,False,False,False,True,False,False,True,False,False,True
49,27,2022-03-01,2022-06-07,641.48,3,213.82666666666668,2022-03-01,2023-02-19,0,0,2023-02-19,0,18.0,207,98,-50,0.0,641.48,3.0,False,False,True,False,True,False,False,False,True,False,True,False
50,50,2022-01-09,2022-12-09,1514.62,4,378.655,2022-02-27,2022-11-03,2,2,2023-07-15,0,19.0,22,334,-196,0.17964071856287425,1514.62,4.0,False,False,True,False,True,False,False,True,False,False,True,False
51,49,2022-03-24,2022-07-20,549.86,3,183.28666666666666,2022-03-24,2023-10-31,0,0,2023-10-31,1,3.0,164,118,-304,0.0,549.86,3.0,True,False,False,False,False,True,False,False,True,True,False,False
52,28,2022-02-17,2022-02-17,401.25,1,401.25,2022-02-17,2023-02-16,0,0,2023-02-16,0,6.0,317,0,-47,0.0,401.25,1.0,False,False,False,True,False,True,False,False,True,True,False,False
53,41,2022-03-13,2022-12-28,1255.34,7,179.3342857142857,2022-03-13,2023-10-02,0,0,2023-10-02,0,20.0,3,290,-275,0.0,1255.34,7.0,False,False,False,True,True,False,False,True,False,True,False,False
54,53,2022-06-13,2022-07-04,461.21000000000004,2,230.60500000000002,2022-01-12,2022-11-21,2,2,2023-01-20,0,22.0,180,21,-20,2.0,461.21000000000004,2.0,False,True,False,False,True,False,False,True,False,False,True,False
55,29,2022-01-08,2022-09-06,1129.35,5,225.86999999999998,2022-01-08,2023-08-18,0,0,2023-08-18,0,33.0,116,241,-230,0.0,1129.35,5.0,False,False,True,False,True,False,False,True,False,False,False,True
56,68,2022-05-17,2022-12-15,1443.46,5,288.692,2022-05-17,2023-08-20,0,0,2023-08-20,0,14.0,16,212,-232,0.0,1443.46,5.0,False,True,False,False,True,False,False,True,False,True,False,False
57,46,2022-02-21,2022-11-28,597.75,3,199.25,2022-12-07,2022-12-07,1,1,2023-07-20,0,44.0,33,280,-201,0.10714285714285714,597.75,3.0,True,False,False,False,True,False,True,False,False,False,True,False
58,52,2022-02-19,2022-11-18,2215.82,6,369.30333333333334,2022-01-21,2022-07-17,2,2,2023-04-17,0,9.0,43,272,-107,0.22058823529411764,2215.82,6.0,False,False,True,False,False,True,True,False,False,False,True,False
59,18,2022-07-25,2022-12-01,292.51,3,97.50333333333333,2022-07-25,2023-12-11,0,0,2023-12-11,0,45.0,30,129,-345,0.0,292.51,3.0,False,True,False,False,False,True,False,False,True,False,True,False
60,18,2022-02-02,2022-12-20,781.09,4,195.2725,2022-03-27,2022-06-08,2,1,2023-03-02,0,25.0,11,321,-61,0.1869158878504673,781.09,4.0,False,False,True,False,True,False,True,False,False,True,False,False
61,54,2022-01-22,2022-10-11,678.97,3,226.32333333333335,2022-04-10,2022-04-10,1,1,2023-12-27,1,47.0,81,262,-361,0.11450381679389314,678.97,3.0,False,False,True,False,False,True,False,True,False,False,False,True
62,23,2022-01-04,2022-11-26,840.0,4,210.0,2022-03-02,2022-12-27,2,2,2023-08-27,0,16.0,35,326,-239,0.18404907975460122,840.0,4.0,False,True,False,False,True,False,True,False,False,True,False,False
63,56,2022-03-05,2022-12-13,2205.11,9,245.01222222222225,2022-03-05,2023-05-26,0,0,2023-05-26,0,7.0,18,283,-146,0.0,2205.11,9.0,False,True,False,False,False,True,False,True,False,True,False,False
64,58,2022-05-02,2022-12-18,965.21,3,321.7366666666667,2022-05-02,2023-06-03,0,0,2023-06-03,0,11.0,13,230,-154,0.0,965.21,3.0,False,False,True,False,True,False,True,False,False,False,True,False
65,35,2022-07-13,2022-11-17,1359.8899999999999,5,271.97799999999995,2022-07-13,2023-09-25,0,0,2023-09-25,0,27.0,44,127,-268,0.0,1359.8899999999999,5.0,True,False,False,False,True,False,False,True,False,True,False,False
66,33,2022-01-18,2022-12-21,1409.11,8,176.13875,2022-01-18,2023-08-17,0,0,2023-08-17,0,40.0,10,337,-229,0.0,1409.11,8.0,False,False,False,True,False,True,False,False,True,False,True,False
67,22,2022-02-05,2022-11-09,701.76,4,175.44,2022-04-29,2022-05-21,2,1,2023-07-23,0,17.0,52,277,-204,0.21660649819494587,701.76,4.0,False,False,True,False,True,False,False,False,True,False,True,False
68,59,2022-05-12,2022-11-06,886.4799999999999,4,221.61999999999998,2022-01-26,2022-06-06,2,2,2023-07-25,1,5.0,55,178,-206,0.33707865168539325,886.4799999999999,4.0,True,False,False,False,True,False,True,False,False,False,False,True
69,60,2022-03-17,2022-12-04,1038.53,4,259.6325,2022-10-05,2022-10-05,1,1,2023-11-13,0,29.0,27,262,-317,0.11450381679389314,1038.53,4.0,False,False,True,False,True,False,False,True,False,True,False,False
70,49,2022-01-04,2022-12-13,2453.98,7,350.56857142857143,2022-01-04,2023-03-15,0,0,2023-03-15,0,10.0,18,343,-74,0.0,2453.98,7.0,False,True,False,False,True,False,False,False,True,True,False,False
71,19,2022-01-09,2022-11-03,474.59000000000003,3,158.1966666666667,2022-01-21,2022-04-13,2,2,2023-08-17,1,47.0,58,298,-229,0.20134228187919462,474.59000000000003,3.0,True,False,False,False,True,False,False,True,False,False,True,False
72,19,2022-01-19,2022-11-22,1080.4,6,180.0666666666667,2022-01-02,2022-01-08,2,1,2023-04-25,1,25.0,39,307,-115,0.19543973941368079,1080.4,6.0,True,False,False,False,True,False,True,False,False,False,True,False
73,57,2022-01-10,2022-11-16,2254.22,9,250.46888888888887,2022-08-15,2022-08-15,1,1,2023-10-27,1,24.0,45,310,-300,0.0967741935483871,2254.22,9.0,False,False,True,False,False,True,False,True,False,False,True,False
74,59,2022-03-26,2022-08-27,2083.79,8,260.47375,2022-03-02,2022-03-02,1,1,2023-02-19,0,44.0,126,154,-50,0.1948051948051948,2083.79,8.0,False,False,False,True,False,True,False,True,False,True,False,False
75,53,2022-08-23,2022-12-31,769.97,4,192.4925,2022-08-21,2022-08-21,1,1,2023-06-17,1,12.0,0,130,-168,0.23076923076923078,769.97,4.0,False,False,True,False,True,False,True,False,False,True,False,False
76,56,2022-03-11,2022-12-07,883.92,4,220.98,2022-11-01,2022-11-18,2,2,2023-05-09,1,5.0,24,271,-129,0.22140221402214022,883.92,4.0,False,False,False,True,True,False,False,False,True,False,False,True
77,29,2022-01-11,2022-12-04,1797.06,8,224.6325,2022-01-11,2023-10-15,0,0,2023-10-15,0,29.0,27,327,-288,0.0,1797.06,8.0,True,False,False,False,False,True,True,False,False,False,True,False
78,64,2022-03-01,2022-04-16,816.89,3,272.2966666666667,2022-11-23,2022-11-23,1,1,2023-10-07,0,35.0,259,46,-280,0.6521739130434783,816.89,3.0,False,False,False,True,False,True,False,True,False,True,False,False
79,36,2022-01-07,2022-12-14,931.3199999999999,3,310.44,2022-01-28,2022-01-28,1,1,2023-04-20,1,23.0,17,341,-110,0.0879765395894428,931.3199999999999,3.0,False,True,False,False,False,True,True,False,False,False,True,False
80,45,2022-04-05,2022-04-05,110.82,1,110.82,2022-04-05,2023-06-09,0,0,2023-06-09,0,32.0,270,0,-160,0.0,110.82,1.0,False,False,False,True,False,True,True,False,False,True,False,False
81,18,2022-01-24,2022-08-31,2181.77,8,272.72125,2022-01-24,2023-12-03,0,0,2023-12-03,1,40.0,122,219,-337,0.0,2181.77,8.0,False,False,False,True,True,False,False,True,False,False,False,True
82,32,2022-02-01,2022-02-01,232.38,1,232.38,2022-02-01,2023-05-08,0,0,2023-05-08,0,19.0,333,0,-128,0.0,232.38,1.0,True,False,False,False,True,False,True,False,False,True,False,False
83,53,2022-01-08,2022-10-15,1419.9199999999998,6,236.6533333333333,2022-03-21,2022-04-22,2,1,2023-12-31,0,25.0,77,280,-365,0.21428571428571427,1419.9199999999998,6.0,False,False,False,True,False,True,False,False,True,True,False,False
84,30,2022-01-27,2022-12-15,1545.91,5,309.182,2022-01-27,2023-11-30,0,0,2023-11-30,0,45.0,16,322,-334,0.0,1545.91,5.0,True,False,False,False,False,True,False,False,True,False,True,False
85,60,2022-03-16,2022-12-06,1690.08,9,187.78666666666666,2022-03-16,2023-08-08,0,0,2023-08-08,0,37.0,25,265,-220,0.0,1690.08,9.0,False,True,False,False,False,True,True,False,False,True,False,False
86,38,2022-03-11,2022-12-02,1674.6599999999999,7,239.23714285714283,2022-03-11,2023-10-18,0,0,2023-10-18,0,1.0,29,266,-291,0.0,1674.6599999999999,7.0,False,True,False,False,False,True,False,True,False,False,False,True
87,29,2022-07-26,2022-12-26,1411.84,5,282.368,2022-03-01,2022-12-10,2,2,2023-11-22,0,43.0,5,153,-326,0.3921568627450981,1411.84,5.0,False,False,True,False,True,False,True,False,False,False,False,True
88,22,2022-01-27,2022-08-13,447.34000000000003,2,223.67000000000002,2022-01-27,2023-02-08,0,0,2023-02-08,0,13.0,140,198,-39,0.0,447.34000000000003,2.0,False,False,True,False,False,True,True,False,False,False,True,False
89,24,2022-03-06,2022-10-12,1951.99,7,278.85571428571427,2022-03-06,2023-09-06,0,0,2023-09-06,0,12.0,80,220,-249,0.0,1951.99,7.0,False,False,True,False,False,True,False,False,True,True,False,False
90,22,2022-01-08,2022-12-30,1229.96,6,204.99333333333334,2022-09-04,2022-09-04,1,1,2023-05-30,0,47.0,1,356,-150,0.08426966292134831,1229.96,6.0,False,True,False,False,False,True,False,False,True,False,True,False
91,65,2022-01-03,2022-10-28,1804.74,9,200.52666666666667,2022-01-14,2022-05-24,2,2,2023-02-03,0,43.0,64,298,-34,0.20134228187919462,1804.74,9.0,False,False,False,True,True,False,False,True,False,True,False,False
92,21,2022-06-03,2022-12-09,2265.28,8,283.16,2022-03-28,2022-10-06,2,2,2023-07-01,0,37.0,22,189,-182,0.31746031746031744,2265.28,8.0,True,False,False,False,True,False,False,True,False,True,False,False
93,30,2022-06-02,2022-12-10,848.07,5,169.614,2022-04-07,2022-10-07,2,1,2023-10-16,0,42.0,21,191,-289,0.31413612565445026,848.07,5.0,False,True,False,False,True,False,False,True,False,True,False,False
94,54,2022-05-04,2022-12-29,1113.6100000000001,3,371.2033333333334,2022-05-04,2023-06-27,0,0,2023-06-27,0,41.0,2,239,-178,0.0,1113.6100000000001,3.0,False,False,False,True,False,True,True,False,False,False,False,True
95,58,2022-02-09,2022-11-07,677.27,3,225.75666666666666,2022-07-30,2022-07-30,1,1,2023-06-20,0,12.0,54,271,-171,0.11070110701107011,677.27,3.0,False,False,True,False,True,False,True,False,False,False,True,False
96,32,2022-08-24,2022-08-24,161.84,1,161.84,2022-01-26,2022-02-20,2,1,2023-02-27,0,36.0,129,0,-58,2.0,161.84,1.0,True,False,False,False,True,False,True,False,False,True,False,False
97,33,2022-04-26,2022-09-11,553.65,2,276.825,2022-04-16,2022-08-11,2,2,2023-12-20,0,38.0,111,138,-354,0.4347826086956522,553.65,2.0,False,False,True,False,False,True,True,False,False,False,False,True
98,38,2022-01-14,2022-11-11,893.76,5,178.752,2022-11-28,2022-11-28,1,1,2023-05-23,0,9.0,50,301,-143,0.09966777408637874,893.76,5.0,True,False,False,False,True,False,False,True,False,True,False,False
99,53,2022-01-25,2022-11-09,889.75,5,177.95,2022-01-25,2023-02-10,0,0,2023-02-10,0,14.0,52,288,-41,0.0,889.75,5.0,False,False,False,True,False,True,False,True,False,False,True,False
100,41,2022-02-17,2022-12-27,1108.56,4,277.14,2022-02-03,2022-12-01,2,2,2023-06-02,1,45.0,4,313,-153,0.19169329073482427,1108.56,4.0,False,True,False,False,True,False,False,True,False,False,True,False
101,33,2022-06-08,2022-06-08,492.35,1,492.35,2022-05-07,2022-10-21,2,2,2023-01-15,0,35.0,206,0,-15,2.0,492.35,1.0,False,False,True,False,True,False,True,False,False,False,True,False
102,31,2022-02-17,2022-12-30,2029.96,6,338.32666666666665,2022-09-03,2022-10-30,2,2,2023-01-14,0,32.0,1,316,-14,0.189873417721519,2029.96,6.0,False,True,False,False,False,True,True,False,False,False,True,False
103,39,2022-01-01,2022-12-20,2297.73,9,255.30333333333334,2022-09-27,2022-12-25,2,1,2023-04-27,0,46.0,11,353,-117,0.16997167138810196,2297.73,9.0,False,False,False,True,False,True,False,True,False,True,False,False
104,66,2022-01-27,2022-12-19,2666.84,9,296.3155555555556,2022-01-03,2022-04-22,2,1,2023-03-23,1,3.0,12,326,-82,0.18404907975460122,2666.84,9.0,False,False,False,True,True,False,False,False,True,False,True,False
105,67,2022-01-31,2022-12-20,1863.6,8,232.95,2022-06-08,2022-10-16,2,1,2023-12-24,0,30.0,11,323,-358,0.18575851393188852,1863.6,8.0,False,False,False,True,True,False,False,True,False,False,False,True
106,23,2022-01-10,2022-11-29,875.08,3,291.6933333333333,2022-05-03,2022-05-21,2,2,2023-07-20,0,49.0,32,323,-201,0.18575851393188852,875.08,3.0,False,True,False,False,False,True,True,False,False,True,False,False
107,59,2022-02-23,2022-11-26,1542.76,6,257.12666666666667,2022-02-23,2023-01-27,0,0,2023-01-27,1,7.0,35,276,-27,0.0,1542.76,6.0,False,True,False,False,True,False,True,False,False,False,True,False
108,53,2022-06-21,2022-10-18,494.30999999999995,2,247.15499999999997,2022-07-20,2022-11-13,2,2,2023-03-24,1,1.0,74,119,-83,0.5042016806722689,494.30999999999995,2.0,True,False,False,False,False,True,False,True,False,True,False,False
109,18,2022-01-28,2022-12-24,1274.7,6,212.45000000000002,2022-05-14,2022-12-11,2,2,2023-04-28,0,20.0,7,330,-118,0.18181818181818182,1274.7,6.0,False,True,False,False,False,True,False,False,True,True,False,False
110,49,2022-07-29,2022-11-13,723.0,3,241.0,2022-08-08,2022-12-05,2,2,2023-10-10,1,25.0,48,107,-283,0.5607476635514018,723.0,3.0,False,True,False,False,False,True,False,False,True,False,False,True
111,23,2022-01-16,2022-10-09,613.1800000000001,2,306.59000000000003,2022-03-05,2022-03-05,1,1,2023-06-17,1,33.0,83,266,-168,0.11278195488721804,613.1800000000001,2.0,False,False,False,True,True,False,True,False,False,False,False,True
112,48,2022-01-20,2022-12-29,750.17,3,250.05666666666664,2022-03-09,2022-03-09,1,1,2023-10-16,0,35.0,2,343,-289,0.08746355685131195,750.17,3.0,True,False,False,False,True,False,True,False,False,False,False,True
113,18,2022-01-15,2022-10-19,1834.01,7,262.00142857142856,2022-08-16,2022-08-16,1,1,2023-04-12,0,44.0,73,277,-102,0.10830324909747294,1834.01,7.0,False,True,False,False,True,False,True,False,False,False,True,False
114,67,2022-01-05,2022-12-04,2133.28,8,266.66,2022-01-05,2023-08-02,0,0,2023-08-02,0,24.0,27,333,-214,0.0,2133.28,8.0,False,True,False,False,True,False,False,True,False,False,False,True
115,68,2022-03-18,2022-09-22,653.62,5,130.724,2022-03-18,2023-09-21,0,0,2023-09-21,0,14.0,100,188,-264,0.0,653.62,5.0,False,False,False,True,True,False,True,False,False,True,False,False
116,54,2022-02-20,2022-12-20,1504.28,7,214.89714285714285,2022-05-26,2022-05-26,1,1,2023-08-20,0,39.0,11,303,-232,0.09900990099009901,1504.28,7.0,False,True,False,False,False,True,True,False,False,True,False,False
117,52,2022-04-16,2022-12-27,448.48,2,224.24,2022-04-16,2023-12-25,0,0,2023-12-25,0,44.0,4,255,-359,0.0,448.48,2.0,False,False,False,True,True,False,True,False,False,False,True,False
118,66,2022-01-25,2022-12-18,1625.39,6,270.89833333333337,2022-02-02,2022-02-02,1,1,2023-10-01,0,34.0,13,327,-274,0.09174311926605504,1625.39,6.0,True,False,False,False,False,True,False,False,True,False,True,False
119,47,2022-02-01,2022-11-04,2012.3300000000002,8,251.54125000000002,2022-01-19,2022-02-26,2,2,2023-03-29,1,18.0,57,276,-88,0.2173913043478261,2012.3300000000002,8.0,False,False,False,True,False,True,False,False,True,True,False,False
120,21,2022-05-09,2022-12-29,1168.79,6,194.79833333333332,2022-05-25,2022-11-07,2,2,2023-02-23,0,2.0,2,234,-54,0.25641025641025644,1168.79,6.0,False,False,False,True,True,False,True,False,False,False,True,False
121,52,2022-02-18,2022-11-22,1073.01,5,214.602,2022-04-08,2022-12-06,2,1,2023-09-09,0,38.0,39,277,-252,0.21660649819494587,1073.01,5.0,True,False,False,False,False,True,False,False,True,True,False,False
