CustomerID,Age,FirstTransactionDate,LastTransactionDate,TotalAmountSpent,TransactionCount,AvgAmountPerTransaction,FirstInteractionDate,LastInteractionDate,TotalServiceInteractions,ServiceDiversity,LastLoginDate,ChurnStatus,LoginFrequency,RecencyDays,TenureDays,DaysSinceLastLogin,InteractionsPerMonth,TotalAmountSpent_Capped,TransactionCount_Capped,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,Gender_F,Gender_M,IncomeLevel_High,IncomeLevel_Low,IncomeLevel_Medium,ServiceUsage_Mobile App,ServiceUsage_Online Banking,ServiceUsage_Website,TotalAmountSpent_Capped_scaled,AvgAmountPerTransaction_scaled,TransactionCount_Capped_scaled,RecencyDays_scaled,TenureDays_scaled,TotalServiceInteractions_scaled,ServiceDiversity_scaled,LoginFrequency_scaled,DaysSinceLastLogin_scaled,InteractionsPerMonth_scaled
14,42,2022-01-17,2022-11-08,2843.59,9,315.95444444444445,2022-07-25,2022-07-29,2,2,2023-01-10,0,26.0,53,295,-10,0.20338983050847456,2843.59,9.0,False,False,False,True,False,True,False,False,True,False,True,False,2.157906960203458,0.8464053319183777,1.5164495974069492,-0.3183857562239023,0.7906380706082847,1.2229106604926003,1.529547267064348,0.006263825053840878,1.6872075346778472,-0.13723214749434354
15,42,2022-01-20,2022-12-16,1914.02,8,239.2525,2022-02-04,2022-10-18,2,2,2023-06-15,0,44.0,15,330,-166,0.18181818181818182,1914.02,8.0,True,False,False,False,False,True,False,False,True,False,True,False,0.8876856220042945,-0.1204291164003058,1.1321491419059484,-0.8013468650222851,1.1091025323173977,1.2229106604926003,1.529547267064348,1.2875007678849155,0.19929450485934386,-0.18536546368606877
16,30,2022-07-23,2022-12-14,2019.79,9,224.42111111111112,2022-06-30,2022-09-08,2,1,2023-03-15,1,41.0,17,144,-74,0.4166666666666667,2019.79,9.0,False,False,True,False,True,False,False,False,True,False,True,False,1.0322162231869116,-0.30738001833702133,1.5164495974069492,-0.7759278592960545,-0.5833086070510318,1.2229106604926003,0.16021220254836946,1.0739612774130698,1.076781676290769,0.33865736556789267
17,19,2022-06-03,2022-11-24,1625.27,7,232.18142857142857,2022-05-06,2022-05-11,2,1,2023-09-03,0,8.0,37,174,-246,0.3448275862068966,1625.27,7.0,False,True,False,False,False,True,False,True,False,False,True,False,0.4931199503442706,-0.20956056532487133,0.7478486864049475,-0.5217378020337476,-0.31033906844322057,1.2229106604926003,0.16021220254836946,-1.2749731177772337,-0.563737818124504,0.17836117196962864
18,56,2022-01-14,2022-08-30,951.3800000000001,5,190.276,2022-11-08,2022-11-08,1,1,2023-11-24,1,37.0,123,228,-328,0.13157894736842105,951.3800000000001,5.0,False,True,False,False,True,False,True,False,False,False,False,True,-0.427724588097196,-0.7377820101379264,-0.02075222459705415,0.5712794441941712,0.18100610105083964,-0.0024507227665182393,0.16021220254836946,0.789241956783942,-1.345845949182948,-0.2974654237641658
19,57,2022-05-09,2022-12-22,1017.26,5,203.452,2022-04-18,2022-11-28,2,1,2023-03-08,0,39.0,9,227,-67,0.2643171806167401,1017.26,5.0,True,False,False,False,True,False,True,False,False,False,True,False,-0.33770212420468576,-0.5716974241040759,-0.02075222459705415,-0.8776038822009771,0.17190711643057927,1.2229106604926003,0.16021220254836946,0.9316016170985059,1.1435470045518557,-0.0012835489616418022
20,41,2022-02-02,2022-12-17,2775.85,9,308.42777777777775,2022-07-19,2022-07-19,1,1,2023-08-15,0,16.0,14,318,-227,0.09433962264150944,2775.85,9.0,False,False,True,False,False,True,False,True,False,False,False,True,2.0653428784779164,0.7515310667735597,1.5164495974069492,-0.8140563678854005,0.9999147168742734,-0.0024507227665182393,0.16021220254836946,-0.7055344765189784,-0.3825176414158401,-0.38055838608620535
21,64,2022-02-16,2022-08-02,913.02,5,182.60399999999998,2022-02-16,2023-06-16,0,0,2023-06-16,0,18.0,151,167,-167,0.0,913.02,5.0,True,False,False,False,False,True,True,False,False,False,False,True,-0.4801420397504551,-0.8344882141491368,-0.02075222459705415,0.9271455243614006,-0.3740319607850432,-1.2278121060256368,-1.209122861967609,-0.5631748162044145,0.18975660082204576,-0.5910605573020389
22,42,2022-02-01,2022-10-19,1582.73,6,263.78833333333336,2022-01-07,2022-08-06,2,1,2023-05-06,0,42.0,73,260,-126,0.23076923076923078,1582.73,6.0,True,False,False,False,True,False,False,True,False,True,False,False,0.43499069087269515,0.1888471223794625,0.36354823090394667,-0.06419569896159559,0.47217360889917165,1.2229106604926003,0.16021220254836946,1.1451411075703517,0.5808106663512678,-0.07613986155869218
23,35,2022-01-19,2022-11-07,1490.74,4,372.685,2022-02-23,2022-03-18,2,1,2023-07-07,0,19.0,54,292,-188,0.20547945205479454,1490.74,4.0,True,False,False,False,True,False,False,True,False,True,False,False,0.3092899250337147,1.5614987468329813,-0.40505268009805495,-0.30567625336078696,0.7633411167475036,1.2229106604926003,0.16021220254836946,-0.4919949860471326,-0.0105393839612143,-0.13256952684563428
24,55,2022-02-11,2022-12-12,1143.22,5,228.644,2022-11-02,2022-11-02,1,1,2023-10-04,0,12.0,19,304,-277,0.09868421052631579,1143.22,5.0,False,False,False,True,False,True,False,False,True,True,False,False,-0.16558267138287924,-0.2541501494103319,-0.02075222459705415,-0.7505088535698238,0.8725289321906281,-0.0024507227665182393,0.16021220254836946,-0.990253797148106,-0.8594128432807451,-0.37086420714863405
25,43,2022-09-07,2022-10-07,764.77,3,254.92333333333332,2022-12-06,2022-12-06,1,1,2023-02-15,0,27.0,85,30,-46,1.0,764.77,3.0,False,True,False,False,True,False,False,True,False,True,False,False,-0.6827199127326146,0.07710305322417309,-0.7893531355990558,0.08831833539578844,-1.6205928537607146,-0.0024507227665182393,0.16021220254836946,0.0774436552111228,1.3438429893351156,1.640262457585797
26,31,2022-07-31,2022-12-28,571.76,3,190.58666666666667,2022-12-12,2022-12-12,1,1,2023-09-29,1,45.0,3,150,-272,0.2,571.76,3.0,False,False,True,False,False,True,False,False,True,True,False,False,-0.9464605890515798,-0.7338660307262803,-0.7893531355990558,-0.9538608993796691,-0.5287146993294696,-0.0024507227665182393,0.16021220254836946,1.3586805980421974,-0.8117233230942545,-0.14479595432447173
27,26,2022-01-04,2022-11-10,2210.6,8,276.325,2022-06-13,2022-06-13,1,1,2023-10-01,0,22.0,51,310,-274,0.0967741935483871,2210.6,8.0,False,False,False,True,False,True,False,False,True,True,False,False,1.2929506848646577,0.34687285807904533,1.1321491419059484,-0.343804761950133,0.9271228399121904,-0.0024507227665182393,0.16021220254836946,-0.2784554955752868,-0.8307991311688507,-0.3751260719903129
28,27,2022-01-06,2022-12-18,1702.26,6,283.71,2022-04-14,2022-12-01,2,2,2023-10-26,0,42.0,13,346,-299,0.17341040462427745,1702.26,6.0,False,False,False,True,True,False,True,False,False,False,True,False,0.5983237981749381,0.439961402998595,0.36354823090394667,-0.8267658707485157,1.2546862862415638,1.2229106604926003,1.529547267064348,1.1451411075703517,-1.0692467321013033,-0.20412593044287666
29,38,2022-02-21,2022-09-24,853.0699999999999,3,284.3566666666666,2022-04-14,2022-09-13,2,2,2023-09-02,0,34.0,98,215,-245,0.27906976744186046,853.0699999999999,3.0,True,False,False,False,True,False,False,False,True,False,False,True,-0.5620613887236792,0.4481126906151114,-0.7893531355990558,0.2535418726162878,0.06271930098745476,1.2229106604926003,1.529547267064348,0.5757024663120962,-0.5541999140872059,0.031634237550380355
30,69,2022-05-13,2022-09-17,706.66,2,353.33,2022-04-04,2022-10-16,2,1,2023-07-12,0,38.0,105,127,-193,0.47244094488188976,706.66,2.0,True,False,False,False,False,True,True,False,False,False,False,True,-0.7621249730968188,1.3175273471149194,-1.1736535911000565,0.3425083926580952,-0.7379913455954582,1.2229106604926003,0.16021220254836946,0.860421786941224,-0.05822890414770479,0.4631077961882772
31,34,2022-01-13,2022-12-09,1108.56,5,221.712,2022-05-09,2022-06-18,2,2,2023-08-17,0,23.0,22,330,-229,0.18181818181818182,1108.56,5.0,True,False,False,False,False,True,False,True,False,False,True,False,-0.21294421659408777,-0.3415285913036726,-0.02075222459705415,-0.7123803449804778,1.1091025323173977,1.2229106604926003,1.529547267064348,-0.20727566541800488,-0.4015934494904363,-0.18536546368606877
32,69,2022-03-01,2022-10-04,1225.52,5,245.10399999999998,2022-03-01,2023-01-06,0,0,2023-01-06,0,48.0,88,217,-6,0.0,1225.52,5.0,False,True,False,False,True,False,True,False,False,True,False,False,-0.05312291457726902,-0.04667046770744943,-0.02075222459705415,0.12644684398513445,0.08091727022797551,-1.2278121060256368,-1.209122861967609,1.5722200885140432,1.7253591508270396,-0.5910605573020389
33,23,2022-08-07,2022-11-07,689.0,2,344.5,2022-05-30,2022-05-30,1,1,2023-05-19,1,24.0,54,92,-139,0.32608695652173914,689.0,2.0,True,False,False,False,False,True,True,False,False,True,False,False,-0.7862566778986059,1.206224455897638,-1.1736535911000565,-0.30567625336078696,-1.0564558073045713,-0.0024507227665182393,0.16021220254836946,-0.13609583526072297,0.4568179138663925,0.13654477363964668
34,33,2022-01-08,2022-12-22,1886.4,9,209.60000000000002,2022-05-19,2022-07-02,2,1,2023-04-03,0,44.0,9,348,-93,0.1724137931034483,1886.4,9.0,False,False,False,True,False,True,True,False,False,False,True,False,0.8499439636449878,-0.49420136802209963,1.5164495974069492,-0.8776038822009771,1.2728842554820845,1.2229106604926003,0.16021220254836946,1.2875007678849155,0.8955614995821051,-0.20634969266620515
35,65,2022-04-03,2022-09-08,779.8399999999999,3,259.94666666666666,2022-07-07,2022-07-07,1,1,2023-05-23,0,19.0,114,158,-143,0.189873417721519,779.8399999999999,3.0,False,True,False,False,False,True,False,True,False,True,False,False,-0.662127342440263,0.1404225915648464,-0.7893531355990558,0.4568939184261332,-0.45592282236738657,-0.0024507227665182393,0.16021220254836946,-0.4919949860471326,0.4186662977172001,-0.16739163042460173
36,18,2022-03-02,2022-10-27,1321.5500000000002,6,220.25833333333335,2022-10-28,2022-10-28,1,1,2023-02-11,0,6.0,65,239,-42,0.12552301255230125,1321.5500000000002,6.0,False,False,False,True,True,False,False,True,False,False,True,False,0.07809835451195064,-0.3598521816622439,0.36354823090394667,-0.16587172186651827,0.28109493187370377,-0.0024507227665182393,0.16021220254836946,-1.4173327780917975,1.381994605484308,-0.31097817049603443
37,36,2022-01-06,2022-12-07,3166.88,9,351.8755555555556,2022-03-20,2022-03-20,1,1,2023-08-28,0,3.0,24,335,-240,0.08955223880597016,2844.5599999999995,9.0,False,True,False,False,True,False,False,False,True,False,True,False,2.159232427567995,1.2991939528021703,1.5164495974069492,-0.6869613392542471,1.1545974554186997,-0.0024507227665182393,0.16021220254836946,-1.6308722685636434,-0.5065103939007154,-0.3912405858195461
38,53,2022-02-23,2022-12-05,874.86,3,291.62,2022-03-25,2022-03-25,1,1,2023-11-27,0,47.0,26,285,-331,0.10526315789473684,874.86,3.0,False,True,False,False,True,False,False,True,False,False,True,False,-0.5322861991636031,0.5396676169882553,-0.7893531355990558,-0.6615423335280164,0.699648224405681,-0.0024507227665182393,0.16021220254836946,1.5010402583567612,-1.3744596612948423,-0.3561844504717404
39,42,2022-04-06,2022-12-11,1191.94,5,238.388,2022-04-06,2023-01-20,0,0,2023-01-20,0,26.0,20,249,-20,0.0,1191.94,5.0,False,True,False,False,False,True,False,False,True,False,True,False,-0.0990086816918788,-0.13132621146908713,-0.02075222459705415,-0.7377993507067084,0.3720847780763075,-1.2278121060256368,-1.209122861967609,0.006263825053840878,1.5918284943048662,-0.5910605573020389
40,67,2022-01-11,2022-08-02,1578.3500000000001,7,225.47857142857146,2022-11-23,2022-11-23,1,1,2023-10-14,0,20.0,151,203,-287,0.1477832512315271,1578.3500000000001,7.0,False,False,False,True,True,False,False,True,False,False,False,True,0.429005590814268,-0.29405064226897143,0.7478486864049475,0.9271455243614006,-0.04646851445566973,-0.0024507227665182393,0.16021220254836946,-0.42081515588985063,-0.954791883653726,-0.2613083876141814
41,69,2022-02-06,2022-02-15,363.22,2,181.61,2022-02-26,2022-02-26,1,1,2023-07-04,1,38.0,319,9,-185,1.0,363.22,2.0,False,True,False,False,True,False,True,False,False,True,False,False,-1.2314224078151517,-0.8470176675885449,-1.1736535911000565,3.062342005364777,-1.8116715307861824,-0.0024507227665182393,0.16021220254836946,0.860421786941224,0.018074328150679993,1.640262457585797
42,47,2022-04-14,2022-10-21,530.61,3,176.87,2022-04-14,2023-07-17,0,0,2023-07-17,0,10.0,71,190,-198,0.0,530.61,3.0,False,False,False,True,False,True,False,False,True,True,False,False,-1.0026904674543848,-0.9067657654786826,-0.7893531355990558,-0.08961470468782626,-0.1647553145190546,-1.2278121060256368,-1.209122861967609,-1.1326134574626698,-0.10591842433419528,-0.5910605573020389
43,37,2022-02-28,2022-11-02,2213.63,7,316.23285714285714,2022-04-01,2022-11-16,2,1,2023-05-25,0,25.0,59,247,-145,0.24291497975708504,2213.63,7.0,False,False,True,False,False,True,False,True,False,True,False,False,1.2970910623023373,0.8499147473526856,0.7478486864049475,-0.2421287390452103,0.35388680883578677,1.2229106604926003,0.16021220254836946,-0.06491600510344105,0.3995904896426039,-0.04903877230904234
44,37,2022-02-06,2022-11-23,687.8199999999999,3,229.2733333333333,2022-04-18,2022-04-18,1,1,2023-11-13,0,35.0,38,290,-317,0.10344827586206898,687.8199999999999,3.0,False,False,False,True,True,False,False,True,False,True,False,False,-0.78786910211526,-0.24621734991549546,-0.7893531355990558,-0.5090282991706323,0.7451431475069829,-0.0024507227665182393,0.16021220254836946,0.6468822964693782,-1.2409290047726689,-0.36023403852053865
45,32,2022-12-23,2022-12-23,300.42,1,300.42,2022-06-25,2022-06-25,1,1,2023-09-02,0,49.0,8,0,-245,1.0,300.42,1.0,False,False,False,True,True,False,False,True,False,False,True,False,-1.317236171209955,0.6505923556872449,-1.5579540466010575,-0.8903133850640924,-1.8935623923685259,-0.0024507227665182393,0.16021220254836946,1.643399918671325,-0.5541999140872059,1.640262457585797
46,57,2022-08-20,2022-08-20,134.67,1,134.67,2022-08-20,2023-07-31,0,0,2023-07-31,1,24.0,133,0,-212,0.0,134.67,1.0,False,True,False,False,True,False,True,False,False,False,True,False,-1.543727115201813,-1.43870030787611,-1.5579540466010575,0.6983744728253246,-1.8935623923685259,-1.2278121060256368,-1.209122861967609,-0.13609583526072297,-0.23944908085636865,-0.5910605573020389
47,50,2022-03-30,2022-11-19,1466.37,7,209.48142857142855,2022-03-30,2023-04-19,0,0,2023-04-19,0,21.0,42,234,-109,0.0,1466.37,7.0,False,True,False,False,True,False,False,False,True,False,False,True,0.27598926557620884,-0.4956959708324924,0.7478486864049475,-0.458190287718171,0.2356000087724019,-1.2278121060256368,-1.209122861967609,-0.3496353257325687,0.7429550349853354,-0.5910605573020389
48,19,2022-05-21,2022-12-09,1597.29,7,228.18428571428572,2022-05-21,2023-06-12,0,0,2023-06-12,0,34.0,22,202,-163,0.0,1597.29,7.0,True,False,False,False,False,True,False,False,True,False,False,True,0.45488636595276416,-0.2599448865715876,0.7478486864049475,-0.7123803449804778,-0.0555674990759301,-1.2278121060256368,-1.209122861967609,0.5757024663120962,0.22790821697123814,-0.5910605573020389
49,27,2022-03-01,2022-06-07,641.48,3,213.82666666666668,2022-03-01,2023-02-19,0,0,2023-02-19,0,18.0,207,98,-50,0.0,641.48,3.0,False,False,True,False,True,False,False,False,True,False,True,False,-0.8511909141489412,-0.4409238798894032,-0.7893531355990558,1.6388776846958597,-1.001861899583009,-1.2278121060256368,-1.209122861967609,-0.5631748162044145,1.3056913731859232,-0.5910605573020389
50,50,2022-01-09,2022-12-09,1514.62,4,378.655,2022-02-27,2022-11-03,2,2,2023-07-15,0,19.0,22,334,-196,0.17964071856287425,1514.62,4.0,False,False,True,False,True,False,False,True,False,False,True,False,0.34192101850294876,1.6367510979730908,-0.40505268009805495,-0.7123803449804778,1.1454984707984393,1.2229106604926003,1.529547267064348,-0.4919949860471326,-0.08684261625959909,-0.19022408756170914
51,49,2022-03-24,2022-07-20,549.86,3,183.28666666666666,2022-03-24,2023-10-31,0,0,2023-10-31,1,3.0,164,118,-304,0.0,549.86,3.0,True,False,False,False,False,True,False,False,True,True,False,False,-0.9763860893437166,-0.8258831435106695,-0.7893531355990558,1.0923690615819,-0.8198822071778016,-1.2278121060256368,-1.209122861967609,-1.6308722685636434,-1.1169362522877937,-0.5910605573020389
52,28,2022-02-17,2022-02-17,401.25,1,401.25,2022-02-17,2023-02-16,0,0,2023-02-16,0,6.0,317,0,-47,0.0,401.25,1.0,False,False,False,True,False,True,False,False,True,True,False,False,-1.1794558883580757,1.92156296966669,-1.5579540466010575,3.0369229996385467,-1.8935623923685259,-1.2278121060256368,-1.209122861967609,-1.4173327780917975,1.3343050852978176,-0.5910605573020389
53,41,2022-03-13,2022-12-28,1255.34,7,179.3342857142857,2022-03-13,2023-10-02,0,0,2023-10-02,0,20.0,3,290,-275,0.0,1255.34,7.0,False,False,False,True,True,False,False,True,False,True,False,False,-0.012375041576742999,-0.8757032371904107,0.7478486864049475,-0.9538608993796691,0.7451431475069829,-1.2278121060256368,-1.209122861967609,-0.42081515588985063,-0.8403370352061489,-0.5910605573020389
54,53,2022-06-13,2022-07-04,461.21000000000004,2,230.60500000000002,2022-01-12,2022-11-21,2,2,2023-01-20,0,22.0,180,21,-20,2.0,461.21000000000004,2.0,False,True,False,False,True,False,False,True,False,False,True,False,-1.097522874772846,-0.2294315797979774,-1.1736535911000565,1.2957211073917454,-1.7024837153430579,1.2229106604926003,1.529547267064348,-0.2784554955752868,1.5918284943048662,3.8715854724736327
55,29,2022-01-08,2022-09-06,1129.35,5,225.86999999999998,2022-01-08,2023-08-18,0,0,2023-08-18,0,33.0,116,241,-230,0.0,1129.35,5.0,False,False,True,False,True,False,False,True,False,False,False,True,-0.1845354882345661,-0.28911665226840016,-0.02075222459705415,0.4823129241523639,0.2992929011142245,-1.2278121060256368,-1.209122861967609,0.5045226361548143,-0.41113135352773444,-0.5910605573020389
56,68,2022-05-17,2022-12-15,1443.46,5,288.692,2022-05-17,2023-08-20,0,0,2023-08-20,0,14.0,16,212,-232,0.0,1443.46,5.0,False,True,False,False,True,False,False,True,False,True,False,False,0.2446836394715124,0.5027599312029551,-0.02075222459705415,-0.7886373621591698,0.035422347126673644,-1.2278121060256368,-1.209122861967609,-0.8478941368335422,-0.43020716160233063,-0.5910605573020389
57,46,2022-02-21,2022-11-28,597.75,3,199.25,2022-12-07,2022-12-07,1,1,2023-07-20,0,44.0,33,280,-201,0.10714285714285714,597.75,3.0,True,False,False,False,True,False,True,False,False,False,True,False,-0.9109462624491762,-0.6246639868328433,-0.7893531355990558,-0.572575813486209,0.6541533013043791,-0.0024507227665182393,0.16021220254836946,1.2875007678849155,-0.13453213644608958,-0.3519902342783422
58,52,2022-02-19,2022-11-18,2215.82,6,369.30333333333334,2022-01-21,2022-07-17,2,2,2023-04-17,0,9.0,43,272,-107,0.22058823529411764,2215.82,6.0,False,False,True,False,False,True,True,False,False,False,True,False,1.300083612331551,1.5188725546321764,0.36354823090394667,-0.44548078485505566,0.5813614243422961,1.2229106604926003,1.529547267064348,-1.2037932876199517,0.7620308430599316,-0.09885695107678105
59,18,2022-07-25,2022-12-01,292.51,3,97.50333333333333,2022-07-25,2023-12-11,0,0,2023-12-11,0,45.0,30,129,-345,0.0,292.51,3.0,False,True,False,False,False,True,False,False,True,False,True,False,-1.3280448793063389,-1.9071892610934333,-0.7893531355990558,-0.610704322075555,-0.7197933763549375,-1.2278121060256368,-1.209122861967609,1.3586805980421974,-1.5079903178170158,-0.5910605573020389
60,18,2022-02-02,2022-12-20,781.09,4,195.2725,2022-03-27,2022-06-08,2,1,2023-03-02,0,25.0,11,321,-61,0.1869158878504673,781.09,4.0,False,False,True,False,True,False,True,False,False,True,False,False,-0.66041926593957,-0.6748007082163922,-0.40505268009805495,-0.8521848764747464,1.0272116707350545,1.2229106604926003,0.16021220254836946,-0.06491600510344105,1.200774428775644,-0.1739908348930976
61,54,2022-01-22,2022-10-11,678.97,3,226.32333333333335,2022-04-10,2022-04-10,1,1,2023-12-27,1,47.0,81,262,-361,0.11450381679389314,678.97,3.0,False,False,True,False,False,True,False,True,False,False,False,True,-0.7999622837401644,-0.28340234754754257,-0.7893531355990558,0.0374803239433271,0.4903715781396924,-0.0024507227665182393,0.16021220254836946,1.5010402583567612,-1.6605967824137853,-0.33556555559732487
62,23,2022-01-04,2022-11-26,840.0,4,210.0,2022-03-02,2022-12-27,2,2,2023-08-27,0,16.0,35,326,-239,0.18404907975460122,840.0,4.0,False,True,False,False,True,False,True,False,False,True,False,False,-0.5799210366149224,-0.4891593344448731,-0.40505268009805495,-0.5471568077599783,1.0727065938363562,1.2229106604926003,1.529547267064348,-0.7055344765189784,-0.4969724898634173,-0.1803876097766704
63,56,2022-03-05,2022-12-13,2205.11,9,245.01222222222225,2022-03-05,2023-05-26,0,0,2023-05-26,0,7.0,18,283,-146,0.0,2205.11,9.0,False,True,False,False,False,True,False,True,False,True,False,False,1.2854488128736155,-0.047827334300445945,1.5164495974069492,-0.7632183564329391,0.6814502551651602,-1.2278121060256368,-1.209122861967609,-1.3461529479345156,0.3900525856053058,-0.5910605573020389
64,58,2022-05-02,2022-12-18,965.21,3,321.7366666666667,2022-05-02,2023-06-03,0,0,2023-06-03,0,11.0,13,230,-154,0.0,965.21,3.0,False,False,True,False,True,False,True,False,False,False,True,False,-0.40882642969353156,0.9192907284069564,-0.7893531355990558,-0.8267658707485157,0.1992040702913604,-1.2278121060256368,-1.209122861967609,-1.061433627305388,0.31374935330692105,-0.5910605573020389
